t, e, s
3.184368737474949952e-03,3.000000000000000000e+00,5.751573752501472292e+00
3.198396793587174325e-03,3.000000000000000000e+00,5.755034360291155338e+00
3.212424849699398698e-03,3.000000000000000000e+00,5.758446761394167446e+00
3.226452905811623070e-03,3.000000000000000000e+00,5.761811627335507779e+00
3.240480961923847877e-03,3.000000000000000000e+00,5.765129620285747158e+00
3.254509018036072249e-03,3.000000000000000000e+00,5.768401393191345150e+00
3.268537074148296622e-03,3.000000000000000000e+00,5.771627589903134847e+00
3.282565130260520995e-03,3.000000000000000000e+00,5.774808845303027738e+00
3.296593186372745368e-03,3.000000000000000000e+00,5.777945785428957315e+00
3.310621242484969740e-03,3.000000000000000000e+00,5.781039027598067648e+00
3.324649298597194547e-03,3.000000000000000000e+00,5.784089180528205532e+00
3.338677354709418919e-03,3.000000000000000000e+00,5.787096844457700229e+00
3.352705410821643292e-03,3.000000000000000000e+00,5.790062611263488535e+00
3.366733466933867665e-03,3.000000000000000000e+00,5.792987064577592271e+00
3.380761523046092037e-03,3.000000000000000000e+00,5.795870779901965086e+00
3.394789579158316844e-03,3.000000000000000000e+00,5.798714324721750302e+00
3.408817635270541217e-03,3.000000000000000000e+00,5.801518258616955137e+00
3.422845691382765589e-03,3.000000000000000000e+00,5.804283133372567960e+00
3.436873747494989962e-03,3.000000000000000000e+00,5.807009493087143426e+00
3.450901803607214335e-03,3.000000000000000000e+00,5.809697874279882157e+00
3.464929859719438707e-03,3.000000000000000000e+00,5.812348805996201406e+00
3.478957915831663514e-03,3.000000000000000000e+00,5.814962809911857988e+00
3.492985971943887887e-03,3.000000000000000000e+00,5.817540400435596837e+00
3.507014028056112259e-03,3.000000000000000000e+00,5.820082084810388245e+00
3.521042084168336632e-03,3.000000000000000000e+00,5.822588363213245799e+00
3.535070140280561005e-03,3.000000000000000000e+00,5.825059728853659635e+00
3.549098196392785377e-03,3.000000000000000000e+00,5.827496668070647701e+00
3.563126252505010184e-03,3.000000000000000000e+00,5.829899660428468522e+00
3.577154308617234556e-03,3.000000000000000000e+00,5.832269178810991050e+00
3.591182364729458929e-03,3.000000000000000000e+00,5.834605689514757998e+00
3.605210420841683302e-03,3.000000000000000000e+00,5.836909652340738219e+00
3.619238476953907675e-03,3.000000000000000000e+00,5.839181520684823212e+00
3.633266533066132481e-03,3.000000000000000000e+00,5.841421741627041975e+00
3.647294589178356854e-03,3.000000000000000000e+00,5.843630756019545736e+00
3.661322645290581226e-03,3.000000000000000000e+00,5.845808998573359005e+00
3.675350701402805599e-03,3.000000000000000000e+00,5.847956897943934251e+00
3.689378757515029972e-03,3.000000000000000000e+00,5.850074876815494207e+00
3.703406813627254345e-03,3.000000000000000000e+00,5.852163351984223993e+00
3.717434869739479151e-03,3.000000000000000000e+00,5.854222734440287290e+00
3.731462925851703524e-03,3.000000000000000000e+00,5.856253429448702974e+00
